Title,Country,Release Year,Main Character Name,Main Character Gender,Main Character Role
Resala ela alwaly,Egypt,1998,Adel Emam,Male,knight
Waheda Bewaheda,Egypt,1984,Adel Emam,Male,general manager
Beggars and Proud Ones,Egypt,1991,Salah El-Saadany,Male,professor
Ragol Fakad Aklah,Egypt,1980,Farid Shawqi,Male,engineer
Ramadan Above the Volcano,Egypt,1985,Adel Emam,Male,employee
Al-Awwama rakm 70,Egypt,1982,Ahmed Zaki,Male,film director
La tasalni man ana,Egypt,1984,Shadia,Female,servant
Intakhebo El-Doctoor Sulieman Abdel Basset,Egypt,1981,Adel Emam,Male,doctor
131 Ashghal,Egypt,1993,Nour El-Sherif,Male,vendor
Lel Hob Qesa Akhira,Egypt,1986,Yehia El-Fakharany,Male,teacher
Halet Talaboss,Egypt,1988,Samah Anwar,Female,officer
The braves,Egypt,1992,Mahmoud Yassine,Male,leader
Ana Mesh Harameya,Egypt,1983,Soheir Ramzy,Female,acting
Allaeiba,Egypt,1987,Hussein Fahmy,Male,manager
Zaki Chan,Egypt,2005,Ahmed Helmy,Male,bodyguard
Dunia,Egypt,2005,Hanan Turk,Female,dancer
"Chaos, This Is",Egypt,2007,Khaled Saleh,Male,police officer
Life's Speed Bump,Egypt,2006,Ahmed Helmy,Male,secretary
His Excellency the Minister,Egypt,2002,Ahmed Zaki,Male,minister
The Traveller,Egypt,2009,Omar Sharif,Male,engineer
