title,id,release_year,main_character_name,main_character_gender,country,main_character_role
Backstage,tt0094700,1988,Laura Branigan,Female,Australia,singer
Treasure Island,tt0787225,1987,Ross Higgins,Male,Australia,cook
Norman Loves Rose,tt0084419,1982,Carol Kane,Female,Australia,dentist
Street Hero,tt0088192,1984,Vince Colosimo,Male,Australia,courier
The Girl from Tomorrow,tt0104343,1992,Katharine Cullen,Female,Australia,teacher
"20,000 Leagues Under the Sea",tt0498755,1985,Tom Burlinson,Male,Australia,master
Singapore Sling,tt0108140,1994,John Waters,Male,Australia,detective
Epic,tt0296620,1985,Benita Collings,Female,Australia,narrator
Breakfast in Paris,tt0083691,1982,Barbara Parkins,Female,Australia,executive
Cappuccino,tt0097012,1989,John Clayton,Male,Australia,actor
Ivanhoe,tt0821787,1986,Lewis Fitz-Gerald,Male,Australia,noble
The Killing of Angel Street,tt0082614,1981,Elizabeth Alexander,Female,Australia,professor
True Love and Chaos,tt0117975,1997,Miranda Otto,Female,Australia,singer
Chameleon II: Death Match,tt0218091,1999,Bobbie Phillips,Female,Australia,government agent
Tale of a Tiger,tt0092045,1984,Grant Navin,Male,Australia,model
Dot and the Koala,tt0089042,1985,Robyn Moore,Female,Australia,mayor
Exile,tt0109757,1994,Aden Young,Male,Australia,maid
Strike of the Panther,tt0096183,1988,Edward John Stazak,Male,Australia,artist
Never Tell Me Never,tt0138652,1998,Claudia Karvan,Female,Australia,shepherd
Sarah and the Squirrel,tt0242851,1982,Mia Farrow,Female,Australia,narrator
BabaKiueria,tt0166032,1986,Michelle Torres,Female,Australia,presenter
Crosstalk,tt0083771,1982,Gary Day,Male,Australia,engineer
A Little Bit of Soul,tt0119546,1998,Geoffrey Rush,Male,Australia,treasurer
The Magic Portal,tt3844480,1989,Ingle Knight,Male,Australia,mate
King Solomon's Mines,tt0462384,1986,Tom Burlinson,Male,Australia,king
The Hunchback of Notre Dame,tt0787031,1986,Tom Burlinson,Male,Australia,dancer
La scomparsa di Azaria Chamberlain,tt0086580,1983,Elaine Hudson,Male,Australia,chamberlain
Cody: A Family Affair,tt0115139,1994,Gary Sweet,Male,Australia,detective
Everynight... Everynight,tt0109754,1994,David Field,Male,Australia,chant
Rajneesh: Spiritual Terrorist,tt3713510,1989,Ross Higgins,Male,Australia,narrator
The Good Woman of Bangkok,tt0104360,1991,Yagwalak Chonchanakun,Male,Australia,prostitute
Gallagher's Travels,tt0093068,1987,Ivar Kants,Male,Australia,photographer
Fragments of War: The Story of Damien Parer,tt0402193,1988,Nicholas Eadie,Male,Australia,photographer
Rainbow's End,tt0306000,1995,Rhona Rees,Female,Australia,seaman
The Battle of Broken Hill,tt1163196,1981,Michael Pate,Male,Australia,narrator
Cody: The Wrong Stuff,tt0284004,1998,Gary Sweet,Male,Australia,dealer
Patience,tt0187392,1995,Christine Douglas,Male,Australia,poet
Moulin Rouge!,tt0203009,2001,Nicole Kidman,Female,Australia,proprietor
Rogue,tt0479528,2007,Radha Mitchell,Female,Australia,researcher
Rumor Has It...,tt0398375,2005,Jennifer Aniston,Female,Australia,writer
Two Weeks Notice,tt0313737,2002,Sandra Bullock,Female,Australia,lawyer
The Invasion,tt0427392,2007,Nicole Kidman,Female,Australia,psychiatrist
Candy,tt0424880,2006,Abbie Cornish,Female,Australia,poet
The Loved Ones,tt1316536,2009,Xavier Samuel,Male,Australia,officer
Beautiful Kate,tt1209377,2009,Ben Mendelsohn,Male,Australia,writer
Bright Star,tt0810784,2009,Abbie Cornish,Female,Australia,poet
Peter Pan 2: Return to Never Land,tt0280030,2002,Harriet Owen,Female,Australia,tinker
Beowulf & Grendel,tt0402057,2005,Hringur Ingvarsson,Male,Australia,king
Feed,tt0445965,2005,Alex O'Loughlin,Male,Australia,webmaster
Irresistible,tt0448564,2006,Susan Sarandon,Female,Australia,illustrator
Restraint,tt0441782,2008,Travis Fimmel,Male,Australia,dealer
Little Fish,tt0382810,2005,Cate Blanchett,Female,Australia,stockbroker
Lantana,tt0259393,2001,Anthony LaPaglia,Male,Australia,detective
Death Defying Acts,tt0472071,2007,Guy Pearce,Male,Australia,illusionist
Lucky You,tt0338216,2007,Phyllis Somerville,Female,Australia,pawnbroker
Man-Thing,tt0290747,2005,Matthew Le Nevez,Male,Australia,sheriff
Storm Warning,tt0800367,2007,Nadia Farès,Female,Australia,lawyer
Somersault,tt0381429,2004,Abbie Cornish,Female,Australia,restaurant
In Her Skin,tt0995851,2009,Guy Pearce,Male,Australia,barber
Gabriel,tt0857376,2007,Andy Whitfield,Male,Australia,leader
The Monkey's Mask,tt0259442,2000,Susie Porter,Female,Australia,officer
Saw,tt0495241,2003,Leigh Whannell,Male,Australia,officer
Japanese Story,tt0304229,2003,Toni Collette,Female,Australia,director
Undead,tt0339840,2003,Felicity Mason,Female,Australia,guard
The Crocodile Hunter: Collision Course,tt0305396,2002,Steve Irwin,Male,Australia,hunter
Rip Girls,tt0244764,2000,Camilla Belle,Female,Australia,miller
Unfinished Sky,tt0838231,2007,William McInnes,Male,Australia,farmer
Newcastle,tt1043860,2008,Lachlan Buchanan,Male,Australia,surfer
Bran Nue Dae,tt1148165,2009,Rocky McKenzie,Male,Australia,bandleader
Vigilante,tt1489264,2008,Robert Díaz,Male,Australia,vigilante
